playlist,track_id,track_name,artist,artist_id,artist_image,album,album_image,popularity,duration_ms,track_name_y,artist_y,album_y,genre,subgenre,danceability,energy,mood,release_year,era,lyrics_theme,instrumentalness,explicit,similaridade
Top anos 2010,1de5qtvROLxLtMAQrmZjev,De Janeiro a Janeiro,Roberta Campos,5CC2At3k0Xnyc5s9yHdyax,,Varrendo a Lua,https://i.scdn.co/image/ab67616d0000b273615ac6698e15a744ccf6ed8d,59,190960,De Janeiro a Janeiro,Roberta Campos,Varrendo a Lua,MPB,Acoustic Pop,0.30000000000000004,0.4,Romantic,2010,2010s,"Enduring love, commitment, love through all seasons, longing for a loved one",0.1,False,0.4800896468372568
Top anos 2010,1T8PwF3JhIiWwBhun23RNe,Impossible,Shontelle,4M6Z1wubeKtwPqbjJygTOc,,No Gravity,https://i.scdn.co/image/ab67616d0000b2737bfc8563a5029026580e602c,67,226533,Impossible,Shontelle,No Gravity,Pop,Pop Ballad,0.2,0.30000000000000004,Sad,2010,2010s,"Heartbreak, moving on from a broken relationship, feeling impossible to recover",0.08,False,0.4793395164429676
Top 50 Mundo,53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,Taylor Swift,06HL4z0CvFAxyc27GXpf02,,The Life of a Showgirl,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902,100,226073,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,Pop,Folk Pop,0.4,0.5,"Melancholic, reflective, narrative",2020,2020s,"Storytelling, tragedy, character study, literary reference",0.15,False,0.47870519334407347
Top 50 Brasil,53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,Taylor Swift,06HL4z0CvFAxyc27GXpf02,,The Life of a Showgirl,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902,100,226073,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,Pop,Folk Pop,0.4,0.5,"Melancholic, reflective, narrative",2020,2020s,"Storytelling, tragedy, character study, literary reference",0.15,False,0.47870519334407347
Top anos 2000,1ZozJfi8u9cO2Ob8KwiwNT,Higher,Creed,43sZBwHjahUvgbx1WNIkIz,,Human Clay,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb,77,316733,Higher,Creed,Human Clay,Post-Grunge,Alternative Rock,0.48,0.88,"Hopeful, powerful, epic",1999,1990s,"Spirituality, overcoming adversity, hope",0.08,False,0.4764940625290185
"Top 70, 80 e 90",31AOj9sFz2gM0O3hMARRBx,Losing My Religion,R.E.M.,4KWTAlx2RvbpseOGMEmROg,,Out Of Time (25th Anniversary Edition),https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd,85,268426,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),Alternative Rock,Jangle Pop,0.4,0.5,melancholic,1991,1990s,"unrequited love, doubt, anxiety, lost faith",0.2,False,0.4683202659303073
Top anos 2000,6q4aoWgTQ8td2AvqQXuFqm,Take A Picture,Filter,01WjpKiWVNurV5hjIadB8C,,Title Of Record (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2730d0d09e240043bd79c352bda,65,363800,Take A Picture,Filter,Title Of Record (Expanded Edition),Industrial Rock,Alternative Rock,0.45,0.55,"Melancholy, reflective, atmospheric",1999,1990s,"Regret, self-reflection, contemplation",0.08,False,0.4681309451485614
Top 50 Mundo,3yWuTOYDztXjZxdE2cIRUa,Opalite,Taylor Swift,06HL4z0CvFAxyc27GXpf02,,The Life of a Showgirl,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902,97,235355,Opalite,Taylor Swift,The Life of a Showgirl,Pop,Soft Rock/Pop,0.45,0.6000000000000001,"reflective, nostalgic",2025,2020s,"Relacionamentos, autorreflexão",0.0,False,0.4666493515239331
Top anos 2000,3jCV9CuT2Hzazecm49uqnZ,O Passageiro (The Passenger) - Ao Vivo,Capital Inicial,4Z0yuwHVJBROVZqFpTIr0d,,Acústico Capital Inicial,https://i.scdn.co/image/ab67616d0000b273839988017983f54cf85b836a,56,279160,O Passageiro (The Passenger) - Ao Vivo,Capital Inicial,Acústico Capital Inicial,Rock,Pop Rock,0.5,0.7000000000000001,energetic,2000,2000s,"travel, observation, detachment (Portuguese cover of Iggy Pop)",0.0,False,0.4611974578570697
Top anos 2010,7hR5toSPEgwFZ78jfHdANM,Half of My Heart,John Mayer,0hEurMDQu99nJRq8pTxO14,,Battle Studies,https://i.scdn.co/image/ab67616d0000b2731e3dbe4453ed61633c472fbe,64,250373,Half of My Heart,John Mayer,Battle Studies,Pop,Pop Rock,0.5,0.7000000000000001,romantic,2009,2000s,"love, desire, incomplete feelings, longing for a partner",0.0,False,0.4603617050107568
Top anos 2000,64BbK9SFKH2jk86U3dGj2P,Otherside,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,,Californication (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595,84,255373,Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),Alternative Rock,"Funk Rock, Neo-Psychedelia",0.55,0.75,"Melancholy, reflective, introspective",1999,1990s,"Addiction, recovery, inner demons, hope",0.08,False,0.46025708857660097
Top 50 Mundo,4DPdJvSMB6hmrjgC5eC85d,Iris,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,,Stay with You,https://i.scdn.co/image/ab67616d0000b273ce5e0c89b768384d45d9b0fa,63,289533,Iris,The Goo Goo Dolls,Stay with You,Rock,Alternative Rock/Post-Grunge,0.5,0.7000000000000001,"sentimental, yearning",1998,1990s,"Vulnerabilidade, desejo de ser compreendido",0.0,False,0.46005709796840827
Top anos 2000,3eFL9jPBBALueXfjhe0jCd,Go Let It Out,Oasis,2DaxqgrOhkeH0fpeiQq2f4,,Standing On The Shoulder Of Giants,https://i.scdn.co/image/ab67616d0000b273ce2be7cd7f7d3b3280faae02,49,278400,Go Let It Out,Oasis,Standing On The Shoulder Of Giants,Britpop,"Alternative Rock, Indie Rock",0.55,0.75,"Confident, anthemic, energetic",2000,2000s,"Self-expression, freedom, letting go",0.1,False,0.45923568858350466
Top anos 2000,3PbHle8KhJp6GuO1jLdEmQ,Be Like That,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,,The Better Life,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1,65,265906,Be Like That,3 Doors Down,The Better Life,Post-Grunge,Alternative Rock,0.55,0.75,"Reflective, determined, resilient",2000,2000s,"Self-acceptance, moving on, independence",0.1,False,0.4556387234854723
Top 50 Mundo,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,,HIT ME HARD AND SOFT,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,92,261466,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,Pop,Indie Pop,0.45,0.55,"melancholic, sweet",2024,2020s,"Beleza sutil, crescimento pessoal",0.05,False,0.4555912295873735
"Top 70, 80 e 90",5aQfUmnxj8x1zYc37Wit9w,Sunday Morning,The Bolshoi,30m0NFP0tHVmxcsUCvEN3K,,Friends,https://i.scdn.co/image/ab67616d0000b273ce2ee4a144ce40370b550e91,0,393666,Sunday Morning,The Bolshoi,Friends,New Wave,Goth Rock,0.55,0.7000000000000001,Brooding,1986,1980s,"Introspection, societal issues",0.08,False,0.44915320695247474
Top 50 Mundo,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,,After Hours,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,90,200040,Blinding Lights,The Weeknd,After Hours,Pop,Synth-Pop/New Wave,0.51,0.79,"euphoric, dramatic",2019,2010s,"Solidão, desejo de ver um parceiro, intoxicação",0.01,False,0.4483023310037327
"Top 70, 80 e 90",4yDCTzaFfr7YOuYKpwgidL,Sounds Like a Melody - 2019 Remaster,Alphaville,0xliTEbFfy5HQHvsTknTkX,,Forever Young (Super Deluxe Edition; 2019 Remaster),https://i.scdn.co/image/ab67616d0000b273c5c6cddc4cdce692d2c9c630,63,286170,Sounds Like a Melody - 2019 Remaster,Alphaville,Forever Young (Super Deluxe Edition; 2019 Remaster),Synth-Pop,New Wave,0.55,0.7000000000000001,Melancholic,1984,1980s,"Music, memory, emotion",0.08,False,0.4461443752912018
Top anos 2010,1HfxPaJggVwFsvOtHbVzMz,Live Like We're Dying,Kris Allen,2zwHaEmXxX6DTv4i8ajNCM,,Kris Allen,https://i.scdn.co/image/ab67616d0000b273f5cf5da2c28dbb1813257541,49,212506,Live Like We're Dying,Kris Allen,Kris Allen,Pop,Pop Rock,0.5,0.6000000000000001,Hopeful,2009,2000s,"Carpe Diem, living life to the fullest, making the most of every moment",0.08,False,0.4456843163135587
Top anos 2000,5c1QJAiC3773EwiZLwHf5x,Again,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,,Again,https://i.scdn.co/image/ab67616d0000b27381bb674330f0276e88bd0722,71,231666,Again,Lenny Kravitz,Again,Rock,"Hard Rock, Neo-Psychedelia",0.55,0.78,"Intense, yearning, passionate",2000,2000s,"Desire for reconciliation, longing for lost love",0.08,False,0.4421112612226411
"Top 70, 80 e 90",1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,5NGO30tJxFlKixkPSgXcFE,,Synchronicity (Remastered 2003),https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,90,253920,Every Breath You Take,The Police,Synchronicity (Remastered 2003),New Wave,Pop Rock,0.5,0.6000000000000001,Melancholic,1983,1980s,"Obsessive love, surveillance",0.05,False,0.4361334033594895
Top 50 Mundo,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,5NGO30tJxFlKixkPSgXcFE,,Synchronicity (Remastered 2003),https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,90,253920,Every Breath You Take,The Police,Synchronicity (Remastered 2003),New Wave,Pop Rock,0.5,0.6000000000000001,Melancholic,1983,1980s,"Obsessive love, surveillance",0.05,False,0.4361334033594895
"Top 70, 80 e 90",2374M0fQpWi3dLnB54qaLX,Africa,TOTO,0PFtn5NtBbbUNbU9EAmIWF,,Toto IV,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,86,295893,Africa,TOTO,Toto IV,Soft Rock,Pop Rock,0.5,0.6000000000000001,Nostalgic,1982,1980s,"Love, longing, mythical journeys",0.05,False,0.4356258198582862
Top 50 Mundo,1jgTiNob5cVyXeJ3WgX5bL,Elizabeth Taylor,Taylor Swift,06HL4z0CvFAxyc27GXpf02,,The Life of a Showgirl,https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902,95,208291,Elizabeth Taylor,Taylor Swift,The Life of a Showgirl,Pop,Pop Retrô/Soft Rock,0.5,0.65,"glamorous, storytelling",2025,2020s,"Fama, vida glamourosa, ícone",0.0,False,0.43423782432916236
Top anos 2000,3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,,Millennium,https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b,74,234960,Show Me the Meaning of Being Lonely,Backstreet Boys,Millennium,Pop,Boy Band,0.45,0.55,sad,1999,1990s,"heartbreak, loneliness, longing for a lost love",0.0,False,0.4275211883903026
Top 50 Mundo,5yJaXWIErrrsjQ3J0eR5aK,The Night We Met,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,,Strange Trails,https://i.scdn.co/image/ab67616d0000b273b4916183f769aca218acb85f,80,208226,The Night We Met,Lord Huron,Strange Trails,Indie Folk,Folk Pop,0.30000000000000004,0.30000000000000004,"nostalgic, sad",2015,2010s,Memórias de um amor perdido,0.05,False,0.4131755581132813
Top anos 2000,4cKGldbhGJniI8BrB3K6tb,Everything You Want,Vertical Horizon,6Hizgjo92FnMp8wGaRUNTn,,Everything You Want,https://i.scdn.co/image/ab67616d0000b273dde37a43468f6a6f60f782e1,66,257066,Everything You Want,Vertical Horizon,Everything You Want,Alternative Rock,"Pop Rock, Power Pop",0.55,0.65,"Reflective, yearning, romantic",1999,1990s,"Unrequited love, desire to be enough for someone",0.1,False,0.41149489175453213
Top anos 2000,1mBaOJ4OPDqJBMp0luG7Ej,A Lenda,Sandy e Junior,05mFGgWzooDQMWGNcNsM05,,As Quatro Estações (Ao Vivo),https://i.scdn.co/image/ab67616d0000b273c5c2cd3cc7f74022537c2992,54,271333,A Lenda,Sandy e Junior,As Quatro Estações (Ao Vivo),Pop,"Brazilian Pop, Teen Pop",0.55,0.65,"Romantic, dreamy, nostalgic",2000,2000s,"Eternal love, fairy tale romance, destiny",0.1,False,0.4079584041314588
Top 50 Brasil,2Hw0LzrD6ic8AckKBxJhiO,Deixa Eu - Ao Vivo,Murilo Huff,3hq7WoPJsrRP0KMSLhUgRz,,Acústico (Ao Vivo),https://i.scdn.co/image/ab67616d0000b273f678dfce3405c8d2f786b73f,83,158470,Deixa Eu - Ao Vivo,Murilo Huff,Acústico (Ao Vivo),Sertanejo,Sertanejo Sofrência,0.5,0.55,"Melancholic, longing, emotional",2023,2020s,"Heartbreak, reconciliation, begging for a chance",0.1,False,0.40224117082327987
Top 50 Brasil,7tesyGMnAFNI0l2xaxcFKi,Saudade De Quem Eu Sou - Ao Vivo,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,,Manifesto Musical 2 (Ao Vivo),https://i.scdn.co/image/ab67616d0000b27339ccc143fa0c800fd90cdf48,79,153103,Saudade De Quem Eu Sou - Ao Vivo,Henrique & Juliano,Manifesto Musical 2 (Ao Vivo),Sertanejo,Sertanejo Sofrência,0.5,0.55,"Melancholic, reflective, nostalgic, sad",2023,2020s,"Nostalgia, longing for past self, heartbreak",0.1,False,0.4018879757809472
Top 50 Brasil,6zxthXT7GUBX83vRmQiN3x,Caos De Alguém - Ao Vivo,Felipe e Rodrigo,7gZu6kPnY9enEi5FvgTO4F,,Nossa Cara (Ao Vivo),https://i.scdn.co/image/ab67616d0000b273b5c00fa80ba041ecb7d76fcf,72,154097,Caos De Alguém - Ao Vivo,Felipe e Rodrigo,Nossa Cara (Ao Vivo),Sertanejo,Sertanejo Sofrência,0.5,0.55,"Melancholic, sad, heartbroken",2023,2020s,"Heartbreak, being someone's 'chaos', toxic relationships",0.1,False,0.4009729415288737
Top 50 Brasil,6vGZfODFI1FxMImSUbdJhz,Resumindo - Ao Vivo,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,,"Magia das Estrelas, Vol. 1 (Ao Vivo)",https://i.scdn.co/image/ab67616d0000b2730b080d4f0af2da9451318a2b,78,145177,Resumindo - Ao Vivo,Zé Neto & Cristiano,"Magia das Estrelas, Vol. 1 (Ao Vivo)",Sertanejo,Sertanejo Sofrência,0.52,0.58,"Melancholic, sad, heartbroken, reflective",2023,2020s,"Heartbreak, relationship summary, emotional pain",0.1,False,0.40041389057518273
Top 50 Brasil,4QZqSqxdcgAbtZle4MS4ph,Retrovisor,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,,Feito À Mão Vol. 01,https://i.scdn.co/image/ab67616d0000b2738ed4b54d8f1cb808029679bb,80,185984,Retrovisor,Gusttavo Lima,Feito À Mão Vol. 01,Sertanejo,Sertanejo Sofrência,0.5,0.55,"Melancholic, nostalgic, heartbroken",2023,2020s,"Looking back, past relationships, regret, moving on",0.1,False,0.4002853387606381
Top anos 2010,656TZu3G6rnfK9m2Y0zR6g,Você me faz tão bem,Detonautas,5AlUDdksfPP7l4Qm22MJA9,,Detonautas Acústico,https://i.scdn.co/image/ab67616d0000b273d55fb5f2c3dc67ec250c6a72,63,254520,Você me faz tão bem,Detonautas,Detonautas Acústico,Rock,Pop Rock,0.5,0.6000000000000001,romantic,2009,2000s,"love, appreciation, positive influence",0.0,False,0.39638687387671717
Top 50 Brasil,4c4tcqYfqiFc527gqNdRE5,Se Eu Te Perdoar - Ao Vivo,Clayton & Romário,1tKrZaph4cLsnEdqC5BNEQ,,Se Eu Te Perdoar (Ao Vivo),https://i.scdn.co/image/ab67616d0000b273ed987e54a9457fa10048f450,83,164892,Se Eu Te Perdoar - Ao Vivo,Clayton & Romário,Se Eu Te Perdoar (Ao Vivo),Sertanejo,Sertanejo Sofrência,0.52,0.58,"Reflective, sad, heartbroken, emotional",2023,2020s,"Forgiveness, betrayal, complicated relationships",0.1,False,0.39625384681209286
Top anos 2010,1wVuPmvt6AWvTL5W2GJnzZ,Talking to the Moon,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,,Doo-Wops & Hooligans,https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0,76,217866,Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,Pop,Soul Pop,0.45,0.5,melancholic,2010,2010s,"longing, lost love, hope for reconnection",0.0,False,0.3902726620891694
Top 50 Mundo,2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,0fTSzq9jAh4c36UVb4V7CB,,"You'll Be Alright, Kid (Chapter 1)",https://i.scdn.co/image/ab67616d0000b27342fe69c0e7e5c92f01ece8ce,91,186964,Ordinary,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",Pop,Pop Acústico,0.4,0.4,"calm, sentimental",2024,2020s,"Vida comum, autoaceitação",0.05,False,0.38888841328925783
Top 50 Brasil,07kLShG3HTeLXTqnFCqNAJ,Amigo Da Minha Saudade - Ao Vivo,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,,Manifesto Musical 2 (Ao Vivo / Vol.1),https://i.scdn.co/image/ab67616d0000b2732774b00531d558bc19e12a24,80,150992,Amigo Da Minha Saudade - Ao Vivo,Henrique & Juliano,Manifesto Musical 2 (Ao Vivo / Vol.1),Sertanejo,Sertanejo Sofrência,0.53,0.58,"Melancholic, nostalgic, sad",2023,2020s,"Longing, missing someone, cherishing memories",0.1,False,0.3786467322139407
Top anos 2010,6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),B.o.B,5ndkK3dpZLKtBklKjxNQwT,,B.o.B Presents: The Adventures of Bobby Ray,https://i.scdn.co/image/ab67616d0000b273484d121f0e2d2caf87d5d10b,78,180480,Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Hip Hop,Pop Rap,0.55,0.7000000000000001,reflective,2010,2010s,"fame, childhood memories, longing for simpler times",0.0,True,0.3712332185708042
Top 50 Mundo,3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,22wbnEMDvgVIAGdFeek6ET,,Fireworks & Rollerblades,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,88,180304,Beautiful Things,Benson Boone,Fireworks & Rollerblades,Pop Rock,Folk Rock/Pop Balada,0.55,0.7000000000000001,"emotive, powerful",2024,2020s,"Gratidão pela vida e amor, medo de perder",0.0,False,0.3704340177158239
"Top 70, 80 e 90",37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,,Dire Straits,https://i.scdn.co/image/ab67616d0000b273b49d49cc95564aede7998bb8,83,348400,Sultans Of Swing,Dire Straits,Dire Straits,Rock,Blues Rock,0.5,0.6000000000000001,Cool,1978,1970s,"Music, street performers, local bands",0.30000000000000004,False,0.3629857497407517
Top anos 2000,5w50Ywn17sXpDFDhe0Sxtw,A Cera,O Surto,6SXLkJrpyA2cxh2B1Xq3b7,,Todo Mundo Doido,https://i.scdn.co/image/ab67616d0000b27368ac9a4f7f5e32697a72d1ff,67,227373,A Cera,O Surto,Todo Mundo Doido,Alternative Rock,Brazilian Rock,0.58,0.78,"Playful, sarcastic, rebellious",2000,2000s,"Social criticism, superficiality, frustration",0.1,False,0.3629020992187253
